timestamp,roll_deg,pitch_deg,yaw_deg,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1785748598.619933,78.3363,-4.8947,-13.4395,-0.313813,-6.364516,9.277091,-2.542374,-0.767502,-1.222405
1785748598.720032,83.1173,1.8203,-34.0504,-0.813952,-2.432049,8.943665,-4.957435,-0.876786,-1.181491
1785748598.819980,83.8023,9.2929,-67.7089,-0.813952,-2.432049,8.943665,-6.023950,-0.383822,-0.757649
1785748598.920035,80.5615,11.2829,-109.0230,-0.813952,-2.432049,8.943665,-6.871569,-0.585501,-0.275055
1785748599.020149,78.9329,8.3767,-129.2865,-0.813952,-2.432049,8.943665,-0.750875,-0.244199,0.758835
1785748599.120101,80.7993,7.4778,-129.0724,-0.813952,-2.432049,8.943665,0.894083,0.278150,0.336522
1785748599.220029,83.0053,5.8422,-106.2450,1.225831,-8.012033,-5.874183,6.378297,0.305175,0.817755
1785748599.320069,82.4991,0.7210,-62.1184,1.225831,-8.012033,-5.874183,8.101686,-0.466766,0.553942
1785748599.420063,79.5908,0.4488,-13.8980,1.225831,-8.012033,-5.874183,8.709612,-0.613100,0.389352
1785748599.520107,85.4956,2.9959,25.1425,1.225831,-8.012033,-5.874183,4.766780,-0.357840,-1.678397
1785748599.620081,89.8768,2.3860,40.1404,1.225831,-8.012033,-5.874183,1.318892,-0.072550,0.230717
1785748599.719890,88.5413,5.7094,52.6002,0.343233,6.923495,9.031925,1.797778,-0.194670,0.310823
1785748599.820105,89.3379,6.9356,60.4278,0.343233,6.923495,9.031925,1.365765,-0.630917,-0.014795
1785748599.919908,90.8628,8.3812,64.3796,0.343233,6.923495,9.031925,0.213454,-0.198964,0.130326
1785748600.019998,90.8151,8.5973,66.0478,0.343233,6.923495,9.031925,0.028445,-0.107418,0.076159
1785748600.119930,91.3306,8.8011,65.3994,0.343233,6.923495,9.031925,-0.356585,-0.185995,-0.005077
1785748600.219962,91.5585,8.6135,65.6028,1.559257,8.443526,3.040061,0.001243,-0.215080,-0.009360
1785748600.319818,92.0863,8.8265,66.7685,1.559257,8.443526,3.040061,0.506992,-0.145198,0.006428
1785748600.419897,91.7559,9.8656,66.7330,1.559257,8.443526,3.040061,-0.081202,0.292267,0.074790
1785748600.519897,91.4422,9.4781,65.1577,1.559257,8.443526,3.040061,-0.318627,-0.164321,0.005242
1785748600.619870,92.7020,9.1768,61.7837,1.559257,8.443526,3.040061,-1.650569,-0.293385,-0.253865
1785748600.719725,96.5157,8.8833,52.9101,1.578871,8.649465,4.991585,-3.119107,-0.930289,-0.608914
1785748600.819826,101.5451,9.6953,37.1283,1.578871,8.649465,4.991585,-3.670858,-1.052054,-0.239499
1785748600.919836,104.7979,13.1775,20.6607,1.578871,8.649465,4.991585,-3.199388,-0.824355,0.095967
1785748601.019908,104.6506,14.5922,9.1441,1.578871,8.649465,4.991585,-1.175082,0.186779,0.591296
1785748601.120094,103.3439,14.8419,5.0273,1.578871,8.649465,4.991585,-0.800638,-0.057243,-0.121580
1785748602.636413,80.7082,-0.5919,-33.8287,-0.176520,-5.570177,7.864933,0.032220,-0.001469,-0.000857
1785748603.036392,80.7238,-0.6145,-33.2052,-0.176520,-5.570177,7.864933,0.013277,0.000215,0.001293
1785748603.436271,80.7238,-0.6318,-32.9525,-0.176520,-5.570177,7.864933,0.009577,-0.000494,0.001579
